"API Response","استجابة واجهة برمجة التطبيقات"
"Cannot Cancel JoFotara Invoice","لا يمكن إلغاء فاتورة جوفوترة"
"Cannot send Credit Note. The original invoice ({0}) has not been successfully sent to JoFotara yet.","لا يمكن إرسال إشعار دائن. الفاتورة الأصلية ({0}) لم يتم إرسالها بنجاح إلى جوفوترة بعد."
"Company {0} not found","الشركة {0} غير موجودة"
"Corex Fotara","كوريكس فواتير"
"Credit Note must be created against an existing Sales Invoice (Return Against field is empty).","يجب إنشاء إشعار دائن مقابل فاتورة مبيعات موجودة (حقل 'مرتجع مقابل' فارغ)."
"Credit Note queued for JoFotara","تم وضع الإشعار الدائن في قائمة الانتظار لـ جوفوترة"
"Customer Tax ID is required for credit sales or invoices over 10,000 JOD. Please update the customer record.","الرقم الضريبي للعميل مطلوب للمبيعات الآجلة أو الفواتير التي تزيد عن 10,000 دينار. يرجى تحديث سجل العميل."
"Error Details","تفاصيل الخطأ"
"Error Traceback","تتبع الخطأ"
"Failed to connect to JoFotara API. Please check your internet connection.","فشل الاتصال بواجهة برمجة تطبيقات جوفوترة. يرجى التحقق من اتصال الإنترنت."
"Generated XML","ملف XML المُنشأ"
"Invoice must be submitted before sending to JoFotara","يجب اعتماد الفاتورة قبل إرسالها إلى جوفوترة"
"Invoice queued for JoFotara","تم وضع الفاتورة في قائمة الانتظار لـ جوفوترة"
"JoFotara API credentials are not configured","بيانات اعتماد واجهة برمجة تطبيقات جوفوترة غير مهيأة"
"JoFotara Code","رمز جوفوترة"
"JoFotara Compliance","امتثال جوفوترة"
"JoFotara Log","سجل جوفوترة"
"JoFotara Response: ","استجابة جوفوترة: "
"JoFotara UOM Map","خريطة وحدات القياس لـ جوفوترة"
"JoFotara Verified","تم التحقق من جوفوترة"
"JoFotara is not enabled for company {0}","جوفوترة غير مفعل للشركة {0}"
"JoFotara: ${status}","جوفوترة: ${status}"
"Original invoice not found or not sent to JoFotara.","الفاتورة الأصلية غير موجودة أو لم يتم إرسالها إلى جوفوترة."
"Original invoice {0} has not been sent to JoFotara. Please send the original invoice first.","الفاتورة الأصلية {0} لم يتم إرسالها إلى جوفوترة. يرجى إرسال الفاتورة الأصلية أولاً."
"Original invoice {0} not found.","الفاتورة الأصلية {0} غير موجودة."
"QR code will appear here after successful submission","سيظهر رمز الاستجابة السريعة (QR) هنا بعد الإرسال الناجح"
"Request timed out after {0} seconds","انتهت مهلة الطلب بعد {0} ثوانٍ"
"Response Body","نص الاستجابة"
"Retry JoFotara","إعادة محاولة جوفوترة"
"Return invoice must have a reference to original invoice","يجب أن تحتوي فاتورة المرتجع على مرجع للفاتورة الأصلية"
"Send to JoFotara","إرسال إلى جوفوترة"
"Sending to JoFotara...","جارٍ الإرسال إلى جوفوترة..."
"Submission Time","وقت الإرسال"
"This company is not marked as VAT Registered. Please remove taxes or enable VAT Registration in Company settings.","هذه الشركة غير مسجلة في ضريبة القيمة المضافة. يرجى إزالة الضرائب أو تفعيل التسجيل الضريبي في إعدادات الشركة."
"This invoice has already been successfully sent to JoFotara","تم إرسال هذه الفاتورة بالفعل بنجاح إلى جوفوترة"
"This invoice has been submitted to JoFotara and cannot be cancelled. Please create a Return Invoice (Credit Note) instead to maintain consistency with the government backend.","تم إرسال هذه الفاتورة إلى جوفوترة ولا يمكن إلغاؤها. يرجى إنشاء فاتورة مرتجع (إشعار دائن) بدلاً من ذلك للحفاظ على التوافق مع النظام الحكومي."
"UBL code (e.g., PCE, KGM, MTR, LTR)","رمز UBL (مثلاً PCE, KGM, MTR, LTR)"